smoother,n,run,vcycles,tempo_ms,residuo,erro_max
jacobi,64,1,200,19.525,0.00140031,0.000200907
jacobi,64,2,200,19.714,0.00140031,0.000200907
jacobi,64,3,200,19.7902,0.00140031,0.000200907
jacobi,64,4,200,19.6915,0.00140031,0.000200907
jacobi,64,5,200,19.3943,0.00140031,0.000200907
jacobi,128,1,200,75.8071,0.00103557,5.02167e-05
jacobi,128,2,200,76.739,0.00103557,5.02167e-05
jacobi,128,3,200,75.7822,0.00103557,5.02167e-05
jacobi,128,4,200,77.7633,0.00103557,5.02167e-05
jacobi,128,5,200,76.1644,0.00103557,5.02167e-05
jacobi,256,1,200,434.6,0.00033949,1.25512e-05
jacobi,256,2,200,429.059,0.00033949,1.25512e-05
jacobi,256,3,200,426.099,0.00033949,1.25512e-05
jacobi,256,4,200,430.425,0.00033949,1.25512e-05
jacobi,256,5,200,427.825,0.00033949,1.25512e-05
jacobi,512,1,200,1945.93,9.0822e-05,3.13756e-06
jacobi,512,2,200,1940.17,9.0822e-05,3.13756e-06
jacobi,512,3,200,1940.31,9.0822e-05,3.13756e-06
jacobi,512,4,200,1946.95,9.0822e-05,3.13756e-06
jacobi,512,5,200,1944.01,9.0822e-05,3.13756e-06
jacobi,1024,1,200,8248.91,2.31245e-05,7.84372e-07
jacobi,1024,2,200,8244.68,2.31245e-05,7.84372e-07
jacobi,1024,3,200,8322.91,2.31245e-05,7.84372e-07
jacobi,1024,4,200,8634.31,2.31245e-05,7.84372e-07
jacobi,1024,5,200,8405.52,2.31245e-05,7.84372e-07
jacobi_amortecido,64,1,14,0.977959,8.61968e-10,0.000200822
jacobi_amortecido,64,2,14,0.979319,8.61968e-10,0.000200822
jacobi_amortecido,64,3,14,0.972839,8.61968e-10,0.000200822
jacobi_amortecido,64,4,14,1.20567,8.61968e-10,0.000200822
jacobi_amortecido,64,5,14,0.972249,8.61968e-10,0.000200822
jacobi_amortecido,128,1,14,4.11501,8.80928e-10,5.02008e-05
jacobi_amortecido,128,2,14,3.94426,8.80928e-10,5.02008e-05
jacobi_amortecido,128,3,14,3.88799,8.80928e-10,5.02008e-05
jacobi_amortecido,128,4,14,3.94656,8.80928e-10,5.02008e-05
jacobi_amortecido,128,5,14,3.87763,8.80928e-10,5.02008e-05
jacobi_amortecido,256,1,14,21.9987,8.91439e-10,1.25499e-05
jacobi_amortecido,256,2,14,20.9462,8.91439e-10,1.25499e-05
jacobi_amortecido,256,3,14,20.846,8.91439e-10,1.25499e-05
jacobi_amortecido,256,4,14,21.1685,8.91439e-10,1.25499e-05
jacobi_amortecido,256,5,14,21.2921,8.91439e-10,1.25499e-05
jacobi_amortecido,512,1,14,94.649,9.01031e-10,3.13739e-06
jacobi_amortecido,512,2,14,97.897,9.01031e-10,3.13739e-06
jacobi_amortecido,512,3,14,95.2657,9.01031e-10,3.13739e-06
