iteracao,residuo
1,9.86159
2,9.85358
3,9.84557
4,9.83756
5,9.82956
6,9.82157
7,9.81358
8,9.8056
9,9.79762
10,9.78965
11,9.78169
12,9.77373
13,9.76578
14,9.75783
15,9.7499
16,9.74196
17,9.73404
18,9.72612
19,9.7182
20,9.7103
21,9.70239
22,9.6945
23,9.68661
24,9.67873
25,9.67085
26,9.66298
27,9.65512
28,9.64726
29,9.63941
30,9.63157
31,9.62373
32,9.6159
33,9.60807
34,9.60025
35,9.59244
36,9.58464
37,9.57684
38,9.56904
39,9.56125
40,9.55347
41,9.5457
42,9.53793
43,9.53017
44,9.52241
45,9.51466
46,9.50692
47,9.49918
48,9.49145
49,9.48373
50,9.47601
51,9.46829
52,9.46059
53,9.45289
54,9.4452
55,9.43751
56,9.42983
57,9.42215
58,9.41448
59,9.40682
60,9.39917
61,9.39152
62,9.38387
63,9.37623
64,9.3686
65,9.36098
66,9.35336
67,9.34575
68,9.33814
69,9.33054
70,9.32294
71,9.31536
72,9.30777
73,9.3002
74,9.29263
75,9.28507
76,9.27751
77,9.26996
78,9.26241
79,9.25487
80,9.24734
81,9.23981
82,9.23229
83,9.22478
84,9.21727
85,9.20977
86,9.20227
87,9.19478
88,9.1873
89,9.17982
90,9.17235
91,9.16488
92,9.15742
93,9.14997
94,9.14252
95,9.13508
96,9.12764
97,9.12021
98,9.11279
99,9.10537
100,9.09796
101,9.09055
102,9.08316
103,9.07576
104,9.06837
105,9.06099
106,9.05362
107,9.04625
108,9.03888
109,9.03153
110,9.02418
111,9.01683
112,9.00949
113,9.00216
114,8.99483
115,8.98751
116,8.98019
117,8.97288
118,8.96558
119,8.95828
120,8.95099
121,8.9437
122,8.93642
123,8.92915
124,8.92188
125,8.91462
126,8.90736
127,8.90011
128,8.89287
129,8.88563
130,8.87839
131,8.87117
132,8.86395
133,8.85673
134,8.84952
135,8.84232
136,8.83512
137,8.82793
138,8.82074
139,8.81356
140,8.80639
141,8.79922
142,8.79206
143,8.7849
144,8.77775
145,8.7706
146,8.76346
147,8.75633
148,8.7492
149,8.74208
150,8.73496
151,8.72785
152,8.72075
153,8.71365
154,8.70656
155,8.69947
156,8.69239
157,8.68531
158,8.67824
159,8.67118
160,8.66412
161,8.65707
162,8.65002
163,8.64298
164,8.63594
165,8.62891
166,8.62189
167,8.61487
168,8.60786
169,8.60085
170,8.59385
171,8.58685
172,8.57986
173,8.57288
174,8.5659
175,8.55893
176,8.55196
177,8.545
178,8.53804
179,8.53109
180,8.52415
181,8.51721
182,8.51027
183,8.50335
184,8.49642
185,8.48951
186,8.4826
187,8.47569
188,8.46879
189,8.4619
190,8.45501
191,8.44813
192,8.44125
193,8.43438
194,8.42751
195,8.42065
196,8.4138
197,8.40695
198,8.4001
199,8.39327
200,8.38643
201,8.37961
202,8.37279
203,8.36597
204,8.35916
205,8.35235
206,8.34555
207,8.33876
208,8.33197
209,8.32519
210,8.31841
211,8.31164
212,8.30487
213,8.29811
214,8.29136
215,8.28461
216,8.27786
217,8.27113
218,8.26439
219,8.25767
220,8.25094
221,8.24423
222,8.23751
223,8.23081
224,8.22411
225,8.21741
226,8.21072
227,8.20404
228,8.19736
229,8.19069
230,8.18402
231,8.17736
232,8.1707
233,8.16405
234,8.1574
235,8.15076
236,8.14413
237,8.1375
238,8.13087
239,8.12425
240,8.11764
241,8.11103
242,8.10443
243,8.09783
244,8.09124
245,8.08465
246,8.07807
247,8.07149
248,8.06492
249,8.05836
250,8.0518
251,8.04524
252,8.03869
253,8.03215
254,8.02561
255,8.01908
