iteracao,residuo
1,9.86958
2,9.86956
3,9.86953
4,9.86951
5,9.86949
6,9.86947
7,9.86944
8,9.86942
9,9.8694
10,9.86937
11,9.86935
12,9.86933
13,9.8693
14,9.86928
15,9.86926
16,9.86923
17,9.86921
18,9.86919
19,9.86916
20,9.86914
21,9.86912
22,9.86909
23,9.86907
24,9.86905
25,9.86902
26,9.869
27,9.86898
28,9.86895
29,9.86893
30,9.86891
31,9.86888
32,9.86886
33,9.86884
34,9.86881
35,9.86879
36,9.86877
37,9.86875
38,9.86872
39,9.8687
40,9.86868
41,9.86865
42,9.86863
43,9.86861
44,9.86858
45,9.86856
46,9.86854
47,9.86851
48,9.86849
49,9.86847
50,9.86844
51,9.86842
52,9.8684
53,9.86837
54,9.86835
55,9.86833
56,9.8683
57,9.86828
58,9.86826
59,9.86823
60,9.86821
61,9.86819
62,9.86816
63,9.86814
64,9.86812
65,9.86809
66,9.86807
67,9.86805
68,9.86803
69,9.868
70,9.86798
71,9.86796
72,9.86793
73,9.86791
74,9.86789
75,9.86786
76,9.86784
77,9.86782
78,9.86779
79,9.86777
80,9.86775
81,9.86772
82,9.8677
83,9.86768
84,9.86765
85,9.86763
86,9.86761
87,9.86758
88,9.86756
89,9.86754
90,9.86751
91,9.86749
92,9.86747
93,9.86744
94,9.86742
95,9.8674
96,9.86738
97,9.86735
98,9.86733
99,9.86731
100,9.86728
101,9.86726
102,9.86724
103,9.86721
104,9.86719
105,9.86717
106,9.86714
107,9.86712
108,9.8671
109,9.86707
110,9.86705
111,9.86703
112,9.867
113,9.86698
114,9.86696
115,9.86693
116,9.86691
117,9.86689
118,9.86686
119,9.86684
120,9.86682
121,9.86679
122,9.86677
123,9.86675
124,9.86673
125,9.8667
126,9.86668
127,9.86666
128,9.86663
129,9.86661
130,9.86659
131,9.86656
132,9.86654
133,9.86652
134,9.86649
135,9.86647
136,9.86645
137,9.86642
138,9.8664
139,9.86638
140,9.86635
141,9.86633
142,9.86631
143,9.86628
144,9.86626
145,9.86624
146,9.86621
147,9.86619
148,9.86617
149,9.86614
150,9.86612
151,9.8661
152,9.86608
153,9.86605
154,9.86603
155,9.86601
156,9.86598
157,9.86596
158,9.86594
159,9.86591
160,9.86589
161,9.86587
162,9.86584
163,9.86582
164,9.8658
165,9.86577
166,9.86575
167,9.86573
168,9.8657
169,9.86568
170,9.86566
171,9.86563
172,9.86561
173,9.86559
174,9.86556
175,9.86554
176,9.86552
177,9.86549
178,9.86547
179,9.86545
180,9.86543
181,9.8654
182,9.86538
183,9.86536
184,9.86533
185,9.86531
186,9.86529
187,9.86526
188,9.86524
189,9.86522
190,9.86519
191,9.86517
192,9.86515
193,9.86512
194,9.8651
195,9.86508
196,9.86505
197,9.86503
198,9.86501
199,9.86498
200,9.86496
201,9.86494
202,9.86491
203,9.86489
204,9.86487
205,9.86484
206,9.86482
207,9.8648
208,9.86478
209,9.86475
210,9.86473
211,9.86471
212,9.86468
213,9.86466
214,9.86464
215,9.86461
216,9.86459
217,9.86457
218,9.86454
219,9.86452
220,9.8645
221,9.86447
222,9.86445
223,9.86443
224,9.8644
225,9.86438
226,9.86436
227,9.86433
228,9.86431
229,9.86429
230,9.86426
231,9.86424
232,9.86422
233,9.86419
234,9.86417
235,9.86415
236,9.86413
237,9.8641
238,9.86408
239,9.86406
240,9.86403
241,9.86401
242,9.86399
243,9.86396
244,9.86394
245,9.86392
246,9.86389
247,9.86387
248,9.86385
249,9.86382
250,9.8638
251,9.86378
252,9.86375
253,9.86373
254,9.86371
255,9.86368
256,9.86366
257,9.86364
258,9.86361
259,9.86359
260,9.86357
261,9.86354
262,9.86352
263,9.8635
264,9.86348
265,9.86345
266,9.86343
267,9.86341
268,9.86338
269,9.86336
270,9.86334
271,9.86331
272,9.86329
273,9.86327
274,9.86324
275,9.86322
276,9.8632
277,9.86317
278,9.86315
279,9.86313
280,9.8631
281,9.86308
282,9.86306
283,9.86303
284,9.86301
285,9.86299
286,9.86296
287,9.86294
288,9.86292
289,9.8629
290,9.86287
291,9.86285
292,9.86283
293,9.8628
294,9.86278
295,9.86276
296,9.86273
297,9.86271
298,9.86269
299,9.86266
300,9.86264
301,9.86262
302,9.86259
303,9.86257
304,9.86255
305,9.86252
306,9.8625
307,9.86248
308,9.86245
309,9.86243
310,9.86241
311,9.86238
312,9.86236
313,9.86234
314,9.86231
315,9.86229
316,9.86227
317,9.86225
318,9.86222
319,9.8622
320,9.86218
321,9.86215
322,9.86213
323,9.86211
324,9.86208
325,9.86206
326,9.86204
327,9.86201
328,9.86199
329,9.86197
330,9.86194
331,9.86192
332,9.8619
333,9.86187
334,9.86185
335,9.86183
336,9.8618
337,9.86178
338,9.86176
339,9.86173
340,9.86171
341,9.86169
342,9.86167
