iteracao,residuo
1,9.8696
2,9.86959
3,9.86958
4,9.86957
5,9.86956
6,9.86955
7,9.86954
8,9.86953
9,9.86952
10,9.86951
11,9.8695
12,9.86949
13,9.86948
14,9.86947
15,9.86947
16,9.86946
17,9.86945
18,9.86944
19,9.86943
20,9.86942
21,9.86941
22,9.8694
23,9.86939
24,9.86938
25,9.86937
26,9.86936
27,9.86935
28,9.86934
29,9.86934
30,9.86933
31,9.86932
32,9.86931
33,9.8693
34,9.86929
35,9.86928
36,9.86927
37,9.86926
38,9.86925
39,9.86924
40,9.86923
41,9.86922
42,9.86921
43,9.8692
44,9.8692
45,9.86919
46,9.86918
47,9.86917
48,9.86916
49,9.86915
50,9.86914
51,9.86913
52,9.86912
53,9.86911
54,9.8691
55,9.86909
56,9.86908
57,9.86907
58,9.86907
59,9.86906
60,9.86905
61,9.86904
62,9.86903
63,9.86902
64,9.86901
65,9.869
66,9.86899
67,9.86898
68,9.86897
69,9.86896
70,9.86895
71,9.86894
72,9.86894
73,9.86893
74,9.86892
75,9.86891
76,9.8689
77,9.86889
78,9.86888
79,9.86887
80,9.86886
81,9.86885
82,9.86884
83,9.86883
84,9.86882
85,9.86881
86,9.86881
87,9.8688
88,9.86879
89,9.86878
90,9.86877
91,9.86876
92,9.86875
93,9.86874
94,9.86873
95,9.86872
96,9.86871
97,9.8687
98,9.86869
99,9.86868
100,9.86868
101,9.86867
102,9.86866
103,9.86865
104,9.86864
105,9.86863
106,9.86862
107,9.86861
108,9.8686
109,9.86859
110,9.86858
111,9.86857
112,9.86856
113,9.86855
114,9.86855
115,9.86854
116,9.86853
117,9.86852
118,9.86851
119,9.8685
120,9.86849
121,9.86848
122,9.86847
123,9.86846
124,9.86845
125,9.86844
126,9.86843
127,9.86842
128,9.86842
129,9.86841
130,9.8684
131,9.86839
132,9.86838
133,9.86837
134,9.86836
135,9.86835
136,9.86834
137,9.86833
138,9.86832
139,9.86831
140,9.8683
141,9.86829
142,9.86829
143,9.86828
144,9.86827
145,9.86826
146,9.86825
147,9.86824
148,9.86823
149,9.86822
150,9.86821
151,9.8682
152,9.86819
153,9.86818
154,9.86817
155,9.86816
156,9.86816
157,9.86815
158,9.86814
159,9.86813
160,9.86812
161,9.86811
162,9.8681
163,9.86809
164,9.86808
165,9.86807
166,9.86806
167,9.86805
168,9.86804
169,9.86803
170,9.86803
171,9.86802
172,9.86801
173,9.868
174,9.86799
175,9.86798
176,9.86797
177,9.86796
178,9.86795
179,9.86794
180,9.86793
181,9.86792
182,9.86791
183,9.8679
184,9.8679
185,9.86789
186,9.86788
187,9.86787
188,9.86786
189,9.86785
190,9.86784
191,9.86783
192,9.86782
193,9.86781
194,9.8678
195,9.86779
196,9.86778
197,9.86777
198,9.86777
199,9.86776
200,9.86775
201,9.86774
202,9.86773
203,9.86772
204,9.86771
205,9.8677
206,9.86769
207,9.86768
208,9.86767
209,9.86766
210,9.86765
211,9.86764
212,9.86764
213,9.86763
214,9.86762
215,9.86761
216,9.8676
217,9.86759
218,9.86758
219,9.86757
220,9.86756
221,9.86755
222,9.86754
223,9.86753
224,9.86752
225,9.86751
226,9.86751
227,9.8675
228,9.86749
229,9.86748
230,9.86747
231,9.86746
232,9.86745
233,9.86744
234,9.86743
235,9.86742
236,9.86741
237,9.8674
238,9.86739
239,9.86738
240,9.86738
241,9.86737
242,9.86736
243,9.86735
244,9.86734
245,9.86733
246,9.86732
247,9.86731
248,9.8673
249,9.86729
250,9.86728
251,9.86727
252,9.86726
253,9.86725
254,9.86725
255,9.86724
256,9.86723
257,9.86722
258,9.86721
259,9.8672
260,9.86719
261,9.86718
262,9.86717
263,9.86716
264,9.86715
265,9.86714
266,9.86713
267,9.86712
268,9.86712
269,9.86711
270,9.8671
271,9.86709
272,9.86708
273,9.86707
274,9.86706
275,9.86705
276,9.86704
277,9.86703
278,9.86702
279,9.86701
280,9.867
281,9.86699
282,9.86699
283,9.86698
284,9.86697
285,9.86696
286,9.86695
287,9.86694
288,9.86693
289,9.86692
290,9.86691
291,9.8669
292,9.86689
293,9.86688
294,9.86687
295,9.86686
296,9.86686
297,9.86685
298,9.86684
299,9.86683
300,9.86682
301,9.86681
302,9.8668
303,9.86679
304,9.86678
305,9.86677
306,9.86676
307,9.86675
308,9.86674
309,9.86673
310,9.86673
311,9.86672
312,9.86671
313,9.8667
314,9.86669
315,9.86668
316,9.86667
317,9.86666
318,9.86665
319,9.86664
320,9.86663
321,9.86662
322,9.86661
323,9.8666
324,9.8666
325,9.86659
326,9.86658
327,9.86657
328,9.86656
329,9.86655
330,9.86654
331,9.86653
332,9.86652
333,9.86651
334,9.8665
335,9.86649
336,9.86648
337,9.86647
338,9.86646
339,9.86646
340,9.86645
341,9.86644
342,9.86643
343,9.86642
344,9.86641
345,9.8664
346,9.86639
347,9.86638
348,9.86637
349,9.86636
350,9.86635
351,9.86634
352,9.86633
353,9.86633
354,9.86632
355,9.86631
356,9.8663
357,9.86629
358,9.86628
359,9.86627
360,9.86626
361,9.86625
362,9.86624
363,9.86623
364,9.86622
365,9.86621
366,9.8662
367,9.8662
368,9.86619
369,9.86618
370,9.86617
371,9.86616
372,9.86615
373,9.86614
374,9.86613
375,9.86612
376,9.86611
377,9.8661
378,9.86609
379,9.86608
380,9.86607
381,9.86607
382,9.86606
383,9.86605
384,9.86604
385,9.86603
386,9.86602
387,9.86601
388,9.866
389,9.86599
390,9.86598
391,9.86597
392,9.86596
393,9.86595
394,9.86594
395,9.86594
396,9.86593
397,9.86592
398,9.86591
399,9.8659
400,9.86589
401,9.86588
402,9.86587
403,9.86586
404,9.86585
405,9.86584
406,9.86583
407,9.86582
408,9.86581
409,9.86581
410,9.8658
411,9.86579
412,9.86578
413,9.86577
414,9.86576
415,9.86575
416,9.86574
417,9.86573
418,9.86572
419,9.86571
420,9.8657
421,9.86569
422,9.86568
423,9.86568
424,9.86567
425,9.86566
426,9.86565
427,9.86564
428,9.86563
429,9.86562
430,9.86561
431,9.8656
432,9.86559
433,9.86558
434,9.86557
435,9.86556
436,9.86555
437,9.86555
438,9.86554
439,9.86553
440,9.86552
441,9.86551
442,9.8655
443,9.86549
444,9.86548
445,9.86547
446,9.86546
447,9.86545
448,9.86544
449,9.86543
450,9.86542
451,9.86542
452,9.86541
453,9.8654
454,9.86539
455,9.86538
456,9.86537
457,9.86536
458,9.86535
459,9.86534
460,9.86533
461,9.86532
462,9.86531
463,9.8653
464,9.86529
465,9.86529
466,9.86528
467,9.86527
468,9.86526
469,9.86525
470,9.86524
471,9.86523
472,9.86522
473,9.86521
474,9.8652
475,9.86519
476,9.86518
477,9.86517
478,9.86516
479,9.86516
480,9.86515
481,9.86514
482,9.86513
483,9.86512
484,9.86511
485,9.8651
486,9.86509
487,9.86508
488,9.86507
489,9.86506
490,9.86505
491,9.86504
492,9.86503
493,9.86503
494,9.86502
495,9.86501
496,9.865
497,9.86499
498,9.86498
499,9.86497
500,9.86496
501,9.86495
502,9.86494
503,9.86493
504,9.86492
505,9.86491
506,9.8649
507,9.8649
508,9.86489
509,9.86488
510,9.86487
511,9.86486
512,9.86485
513,9.86484
514,9.86483
515,9.86482
516,9.86481
517,9.8648
518,9.86479
519,9.86478
520,9.86477
521,9.86477
522,9.86476
523,9.86475
524,9.86474
525,9.86473
526,9.86472
527,9.86471
528,9.8647
529,9.86469
530,9.86468
531,9.86467
532,9.86466
533,9.86465
534,9.86464
535,9.86464
536,9.86463
537,9.86462
538,9.86461
539,9.8646
540,9.86459
541,9.86458
542,9.86457
543,9.86456
544,9.86455
545,9.86454
546,9.86453
547,9.86452
548,9.86451
549,9.86451
550,9.8645
551,9.86449
552,9.86448
553,9.86447
554,9.86446
555,9.86445
556,9.86444
557,9.86443
558,9.86442
559,9.86441
560,9.8644
561,9.86439
562,9.86438
563,9.86438
564,9.86437
565,9.86436
566,9.86435
567,9.86434
568,9.86433
569,9.86432
570,9.86431
571,9.8643
572,9.86429
573,9.86428
574,9.86427
575,9.86426
576,9.86426
577,9.86425
578,9.86424
579,9.86423
580,9.86422
581,9.86421
582,9.8642
583,9.86419
584,9.86418
585,9.86417
586,9.86416
587,9.86415
588,9.86414
589,9.86413
590,9.86413
591,9.86412
592,9.86411
593,9.8641
594,9.86409
595,9.86408
596,9.86407
597,9.86406
598,9.86405
599,9.86404
600,9.86403
601,9.86402
602,9.86401
603,9.864
604,9.864
605,9.86399
606,9.86398
607,9.86397
608,9.86396
609,9.86395
610,9.86394
611,9.86393
612,9.86392
613,9.86391
614,9.8639
615,9.86389
616,9.86388
617,9.86387
618,9.86387
619,9.86386
620,9.86385
621,9.86384
622,9.86383
623,9.86382
624,9.86381
625,9.8638
626,9.86379
627,9.86378
628,9.86377
629,9.86376
630,9.86375
631,9.86374
632,9.86374
633,9.86373
634,9.86372
635,9.86371
636,9.8637
637,9.86369
638,9.86368
639,9.86367
640,9.86366
641,9.86365
642,9.86364
643,9.86363
644,9.86362
645,9.86361
646,9.86361
647,9.8636
648,9.86359
649,9.86358
650,9.86357
651,9.86356
652,9.86355
653,9.86354
654,9.86353
655,9.86352
656,9.86351
657,9.8635
658,9.86349
659,9.86348
660,9.86348
661,9.86347
662,9.86346
663,9.86345
664,9.86344
665,9.86343
666,9.86342
667,9.86341
668,9.8634
669,9.86339
670,9.86338
671,9.86337
672,9.86336
673,9.86335
674,9.86335
675,9.86334
676,9.86333
677,9.86332
678,9.86331
679,9.8633
680,9.86329
681,9.86328
682,9.86327
683,9.86326
684,9.86325
685,9.86324
686,9.86323
687,9.86322
688,9.86322
689,9.86321
690,9.8632
691,9.86319
692,9.86318
693,9.86317
694,9.86316
695,9.86315
696,9.86314
697,9.86313
698,9.86312
699,9.86311
700,9.8631
701,9.86309
702,9.86309
703,9.86308
704,9.86307
705,9.86306
706,9.86305
707,9.86304
708,9.86303
709,9.86302
710,9.86301
711,9.863
712,9.86299
713,9.86298
714,9.86297
715,9.86296
716,9.86296
717,9.86295
718,9.86294
719,9.86293
720,9.86292
721,9.86291
722,9.8629
723,9.86289
724,9.86288
725,9.86287
726,9.86286
727,9.86285
728,9.86284
729,9.86283
730,9.86283
731,9.86282
732,9.86281
733,9.8628
734,9.86279
735,9.86278
736,9.86277
737,9.86276
738,9.86275
739,9.86274
740,9.86273
741,9.86272
742,9.86271
743,9.8627
744,9.8627
745,9.86269
746,9.86268
747,9.86267
748,9.86266
749,9.86265
750,9.86264
751,9.86263
752,9.86262
753,9.86261
754,9.8626
755,9.86259
756,9.86258
757,9.86257
758,9.86257
759,9.86256
760,9.86255
761,9.86254
762,9.86253
763,9.86252
764,9.86251
765,9.8625
766,9.86249
767,9.86248
768,9.86247
769,9.86246
770,9.86245
771,9.86244
772,9.86244
773,9.86243
774,9.86242
775,9.86241
776,9.8624
777,9.86239
778,9.86238
779,9.86237
780,9.86236
781,9.86235
782,9.86234
783,9.86233
784,9.86232
785,9.86231
786,9.86231
787,9.8623
788,9.86229
789,9.86228
790,9.86227
791,9.86226
792,9.86225
793,9.86224
794,9.86223
795,9.86222
796,9.86221
797,9.8622
798,9.86219
799,9.86218
800,9.86218
801,9.86217
802,9.86216
803,9.86215
804,9.86214
805,9.86213
806,9.86212
807,9.86211
808,9.8621
809,9.86209
810,9.86208
811,9.86207
812,9.86206
813,9.86205
814,9.86205
815,9.86204
816,9.86203
817,9.86202
818,9.86201
819,9.862
820,9.86199
821,9.86198
822,9.86197
823,9.86196
