iteracao,residuo
1,13.9577
2,13.9577
3,13.9577
4,13.9577
5,13.9577
6,13.9577
7,13.9577
8,13.9577
9,13.9577
10,13.9576
11,13.9576
12,13.9576
13,13.9576
14,13.9576
15,13.9576
16,13.9576
17,13.9576
18,13.9576
19,13.9576
20,13.9576
21,13.9576
22,13.9575
23,13.9575
24,13.9575
25,13.9575
26,13.9575
27,13.9575
28,13.9575
29,13.9575
30,13.9575
31,13.9575
32,13.9575
33,13.9575
34,13.9575
35,13.9574
36,13.9574
37,13.9574
38,13.9574
39,13.9574
40,13.9574
41,13.9574
42,13.9574
43,13.9574
44,13.9574
45,13.9574
46,13.9574
47,13.9573
48,13.9573
49,13.9573
50,13.9573
51,13.9573
52,13.9573
53,13.9573
54,13.9573
55,13.9573
56,13.9573
57,13.9573
58,13.9573
59,13.9572
60,13.9572
61,13.9572
62,13.9572
63,13.9572
64,13.9572
65,13.9572
66,13.9572
67,13.9572
68,13.9572
69,13.9572
70,13.9572
71,13.9571
72,13.9571
73,13.9571
74,13.9571
75,13.9571
76,13.9571
77,13.9571
78,13.9571
79,13.9571
80,13.9571
81,13.9571
82,13.9571
83,13.957
84,13.957
85,13.957
86,13.957
87,13.957
88,13.957
89,13.957
90,13.957
91,13.957
92,13.957
93,13.957
94,13.957
95,13.957
96,13.9569
97,13.9569
98,13.9569
99,13.9569
100,13.9569
101,13.9569
102,13.9569
103,13.9569
104,13.9569
105,13.9569
106,13.9569
107,13.9569
108,13.9568
109,13.9568
110,13.9568
111,13.9568
112,13.9568
113,13.9568
114,13.9568
115,13.9568
116,13.9568
117,13.9568
118,13.9568
119,13.9568
120,13.9567
121,13.9567
122,13.9567
123,13.9567
124,13.9567
125,13.9567
126,13.9567
127,13.9567
128,13.9567
129,13.9567
130,13.9567
131,13.9567
132,13.9566
133,13.9566
134,13.9566
135,13.9566
136,13.9566
137,13.9566
138,13.9566
139,13.9566
140,13.9566
141,13.9566
142,13.9566
143,13.9566
144,13.9565
145,13.9565
146,13.9565
147,13.9565
148,13.9565
149,13.9565
150,13.9565
151,13.9565
152,13.9565
153,13.9565
154,13.9565
155,13.9565
156,13.9564
157,13.9564
158,13.9564
159,13.9564
160,13.9564
161,13.9564
162,13.9564
163,13.9564
164,13.9564
165,13.9564
166,13.9564
167,13.9564
168,13.9564
169,13.9563
170,13.9563
171,13.9563
172,13.9563
173,13.9563
174,13.9563
175,13.9563
