iteracao,residuo
1,9.86957
2,9.86953
3,9.86949
4,9.86946
5,9.86942
6,9.86938
7,9.86934
8,9.86931
9,9.86927
10,9.86923
11,9.8692
12,9.86916
13,9.86912
14,9.86908
15,9.86905
16,9.86901
17,9.86897
18,9.86894
19,9.8689
20,9.86886
21,9.86882
22,9.86879
23,9.86875
24,9.86871
25,9.86868
26,9.86864
27,9.8686
28,9.86856
29,9.86853
30,9.86849
31,9.86845
32,9.86842
33,9.86838
34,9.86834
35,9.8683
36,9.86827
37,9.86823
38,9.86819
39,9.86816
40,9.86812
41,9.86808
42,9.86804
43,9.86801
44,9.86797
45,9.86793
46,9.8679
47,9.86786
48,9.86782
49,9.86778
50,9.86775
51,9.86771
52,9.86767
53,9.86764
54,9.8676
55,9.86756
56,9.86752
57,9.86749
58,9.86745
59,9.86741
60,9.86738
61,9.86734
62,9.8673
63,9.86726
64,9.86723
65,9.86719
66,9.86715
67,9.86712
68,9.86708
69,9.86704
70,9.867
71,9.86697
72,9.86693
73,9.86689
74,9.86686
75,9.86682
76,9.86678
77,9.86674
78,9.86671
79,9.86667
80,9.86663
81,9.8666
82,9.86656
83,9.86652
84,9.86648
85,9.86645
86,9.86641
87,9.86637
88,9.86633
89,9.8663
90,9.86626
91,9.86622
92,9.86619
93,9.86615
94,9.86611
95,9.86607
96,9.86604
97,9.866
98,9.86596
99,9.86593
100,9.86589
101,9.86585
102,9.86581
103,9.86578
104,9.86574
105,9.8657
106,9.86567
107,9.86563
108,9.86559
109,9.86555
110,9.86552
111,9.86548
112,9.86544
113,9.86541
114,9.86537
115,9.86533
116,9.86529
117,9.86526
118,9.86522
119,9.86518
120,9.86515
121,9.86511
122,9.86507
123,9.86503
124,9.865
125,9.86496
126,9.86492
127,9.86489
128,9.86485
129,9.86481
130,9.86477
131,9.86474
132,9.8647
133,9.86466
134,9.86463
135,9.86459
136,9.86455
137,9.86451
138,9.86448
139,9.86444
140,9.8644
141,9.86437
142,9.86433
143,9.86429
144,9.86426
145,9.86422
146,9.86418
147,9.86414
148,9.86411
149,9.86407
150,9.86403
151,9.864
152,9.86396
153,9.86392
154,9.86388
155,9.86385
156,9.86381
157,9.86377
158,9.86374
159,9.8637
160,9.86366
161,9.86362
162,9.86359
163,9.86355
164,9.86351
165,9.86348
166,9.86344
167,9.8634
168,9.86336
169,9.86333
170,9.86329
171,9.86325
172,9.86322
173,9.86318
174,9.86314
175,9.8631
176,9.86307
177,9.86303
178,9.86299
179,9.86296
180,9.86292
181,9.86288
182,9.86284
183,9.86281
184,9.86277
185,9.86273
186,9.8627
187,9.86266
188,9.86262
189,9.86258
190,9.86255
191,9.86251
192,9.86247
193,9.86244
194,9.8624
195,9.86236
196,9.86232
197,9.86229
198,9.86225
199,9.86221
200,9.86218
201,9.86214
202,9.8621
203,9.86206
204,9.86203
205,9.86199
206,9.86195
207,9.86192
208,9.86188
209,9.86184
210,9.8618
211,9.86177
212,9.86173
213,9.86169
214,9.86166
215,9.86162
216,9.86158
217,9.86154
218,9.86151
219,9.86147
220,9.86143
221,9.8614
222,9.86136
223,9.86132
224,9.86128
225,9.86125
226,9.86121
227,9.86117
228,9.86114
229,9.8611
230,9.86106
231,9.86102
232,9.86099
233,9.86095
234,9.86091
235,9.86088
236,9.86084
237,9.8608
238,9.86076
239,9.86073
240,9.86069
241,9.86065
242,9.86062
243,9.86058
244,9.86054
245,9.8605
246,9.86047
247,9.86043
248,9.86039
249,9.86036
250,9.86032
251,9.86028
252,9.86024
253,9.86021
254,9.86017
255,9.86013
256,9.8601
257,9.86006
258,9.86002
259,9.85998
260,9.85995
261,9.85991
262,9.85987
263,9.85984
264,9.8598
265,9.85976
266,9.85973
267,9.85969
268,9.85965
269,9.85961
270,9.85958
271,9.85954
272,9.8595
273,9.85947
274,9.85943
275,9.85939
276,9.85935
277,9.85932
278,9.85928
279,9.85924
280,9.85921
281,9.85917
282,9.85913
283,9.85909
284,9.85906
285,9.85902
286,9.85898
287,9.85895
288,9.85891
289,9.85887
290,9.85883
291,9.8588
292,9.85876
293,9.85872
294,9.85869
295,9.85865
296,9.85861
297,9.85857
298,9.85854
299,9.8585
300,9.85846
301,9.85843
302,9.85839
303,9.85835
304,9.85831
305,9.85828
306,9.85824
307,9.8582
308,9.85817
309,9.85813
310,9.85809
311,9.85805
312,9.85802
313,9.85798
314,9.85794
315,9.85791
316,9.85787
317,9.85783
318,9.8578
319,9.85776
320,9.85772
321,9.85768
322,9.85765
323,9.85761
324,9.85757
325,9.85754
326,9.8575
327,9.85746
328,9.85742
329,9.85739
330,9.85735
331,9.85731
332,9.85728
333,9.85724
334,9.8572
335,9.85716
336,9.85713
337,9.85709
338,9.85705
339,9.85702
340,9.85698
341,9.85694
342,9.8569
343,9.85687
